Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram160_37.cnf 147.764 496.9 4302.2 3740.13 5000.01 929.652 2675.8
Volfram160_38.cnf 5000.01 1843.06 4989 5000.01 5000.01 1825.43 5000
Volfram160_39.cnf 5000.01 5000.01 4950 5000.01 4102.97 5000.01 5000
Volfram160_4.cnf 5000.01 4531.92 4989.8 1779.03 5000.01 5000 5000
Volfram160_40.cnf 5000 5000.01 4989.3 5000.01 5000.01 5000.01 4361.42
Volfram160_41.cnf 5000.01 5000.01 4990.2 5000 5000.01 5000 5000.01
Volfram160_42.cnf 5000 4104.06 4993.9 5000 5000.01 1123.58 5000
Volfram160_43.cnf 5000 5000.01 4992 5000.01 842.524 4265.89 890.58
Volfram160_44.cnf 5000.01 5000.02 4994 5000.01 5000.01 5000.01 1759.09
Volfram160_45.cnf 5000.01 2880.65 4364.6 3186.68 5000.01 196.888 5000
Volfram160_46.cnf 3688.01 5000.01 3824.7 1098.98 1867.79 2133.5 5000
Volfram160_47.cnf 5000.01 5000.01 4984.2 5000 5000 5000.01 4143.13
Volfram160_48.cnf 5000.01 5000.01 4997.3 2205.77 5000.01 5000.01 5000
Volfram160_49.cnf 5000 5000.01 4996.4 5000 5000 5000.01 5000
Volfram160_5.cnf 5000.01 5000.01 4997.6 5000 5000.01 5000.01 2109.34
Volfram160_50.cnf 5000.01 5000.01 3717.9 5000 4741.56 5000 5000
Volfram160_51.cnf 2540.64 5000.01 4995.7 5000 5000 5000.01 5000.01
Volfram160_52.cnf 3383.56 5000.01 4995.5 5000 5000.01 5000.01 5000.01
Volfram160_53.cnf 5000.01 1361.21 4995.7 5000 5000.01 5000.01 3283.34
Volfram160_54.cnf 2308.38 5000.01 4996.7 2027.51 5000.01 4240.34 2780.47
Volfram160_55.cnf 2191.56 5000.01 4997.2 5000 1547.52 151.884 5000.01
Volfram160_56.cnf 5000.01 5000.01 4995.8 5000 5000 5000.01 5000.01
Volfram160_57.cnf 5000 5000.01 4996.3 5000 5000 2883.5 2708.72
Volfram160_58.cnf 5000.01 5000.01 4997 5000 5000.01 5000.01 5000
Volfram160_59.cnf 5000.01 5000.01 4998.2 613.632 5000.01 5000.01 5000
Volfram160_6.cnf 792.236 5000.01 4997.7 5000.01 5000 5000.01 5000
Volfram160_60.cnf 5000.01 5000.01 4998 5000 754.996 1216.09 5000
Volfram160_61.cnf 5000 5000.01 4997.6 5000.01 5000.01 5000.01 5000
Volfram160_62.cnf 5000 5000.01 4990.7 2410.91 5000 5000.01 313.664
Volfram160_63.cnf 5000.01 5000.01 4999.5 5000 5000 5000.01 5000
Volfram160_64.cnf 5000.01 5000.01 4997.2 5000 5000.01 5000 5000
Volfram160_65.cnf 4741.32 5000.01 4999.2 5000 5000.01 5000.01 5000.01
Volfram160_66.cnf 3189.48 1290.85 4992.2 974.728 5000 5000.01 5000
Volfram160_67.cnf 5000 5000.01 4992.8 5000 5000.01 5000.01 5000.01
Volfram160_68.cnf 5000.01 5000.01 4998.9 5000.01 5000.01 5000.01 5000
Volfram160_69.cnf 3782.36 5000.01 3227 3077.16 1075.85 415.504 5000
Volfram160_7.cnf 5000 2605.05 4996.8 5000 5000.01 5000.01 5000
Volfram160_70.cnf 5000 5000.01 4992.1 5000.01 5000.01 5000.01 1594.71
Volfram160_71.cnf 5000.01 5000.01 4997.7 5000 5000 5000.01 5000
Volfram160_72.cnf 5000.01 5000.01 4995.7 2153.96 3878.3 5000.01 2703.92
Volfram160_73.cnf 5000.01 5000.01 4988.3 5000 5000.01 4655.46 5000
Volfram160_74.cnf 3591.76 5000.01 4998.4 5000 5000.01 2251.1 5000
Volfram160_75.cnf 5000.01 5000.01 4997.1 5000 5000.01 5000 5000
Volfram160_76.cnf 5000.01 5000.01 4987.2 5000.01 5000 5000 5000
Volfram160_77.cnf 5000 5000.01 4997.3 230.3 5000.01 5000.01 5000
Volfram160_78.cnf 888.176 217.226 712.7 315.06 1606.35 190.764 654.144
Volfram160_79.cnf 5000.01 5000.01 4991.2 5000 5000.01 5000.01 5000
Volfram160_8.cnf 5000 5000.01 4987 5000.01 5000.01 5000 5000
Volfram160_80.cnf 5000 5000.01 4989.9 5000 5000 5000.01 5000
Volfram160_81.cnf 1934.51 331.786 4415.9 4366.82 4809.06 5000.01 5000
Volfram160_82.cnf 106.184 836.183 4993.1 5000 5000.01 1100.56 5000
Volfram160_83.cnf 2310.4 5000.01 4998.5 5000 5000.01 5000.01 5000
Volfram160_84.cnf 5000.01 5000.01 4998.5 5000 5000 5000 5000
Volfram160_85.cnf 5000 3634.87 4997.7 5000 5000 2276.06 2156.52
Volfram160_86.cnf 5000.01 5000.01 4999.5 5000 5000 5000.01 5000
Volfram160_87.cnf 5000.01 5000.01 4999.2 5000.01 714.808 4805.99 5000.01
Volfram160_88.cnf 5000.01 5000.01 4998.5 5000 5000.01 5000.34 5000
Volfram160_89.cnf 5000.01 5000.01 4999.7 5000 5000 5000.01 5000
Volfram160_9.cnf 4594.54 5000.01 4999.8 5000.01 5000 5000.01 4808.29
Volfram160_90.cnf 5000.01 5000.01 4999.5 5000 5000 5000.01 2066.6
Volfram160_91.cnf 3493.8 5000.01 4999.7 5000 5000 648.9 2652.44
Volfram160_92.cnf 4328.03 5000.01 4999.9 344.136 5000 1334.86 3754.34
Volfram160_93.cnf 2038.73 5000.01 4988.3 2756.44 5000.01 5000.01 5000
Volfram160_94.cnf 5000.01 5000 4990.9 5000 5000.01 5000.01 5000
Volfram160_95.cnf 2438.03 5000.01 4998.4 5000 5000 3037.84 5000
Volfram160_96.cnf 807.052 5000.25 3684.8 5000 4534.57 2433.53 5000
Volfram160_97.cnf 983.792 3054.68 4998.4 2189.26 5000 778.696 5000
Volfram160_98.cnf 5000 5000.01 4992.2 5000 5000 5000.01 5000
Volfram160_99.cnf 5000.01 5000.1 4993.6 5000 5000.01 4219.91 5000
