Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram64_79.cnf 2.82 1.9084 10.9 4.724 3.336 4 6.692
Volfram64_8.cnf 2.54 2.26351 10.1 1.808 0.692 0.988 0.772
Volfram64_80.cnf 1.788 0.287521 3.1 0.908 0.36 0.296 0.424
Volfram64_81.cnf 2.084 1.36882 6.2 0.72 0.48 1.628 0.46
Volfram64_82.cnf 2.968 0.245175 5.2 1.544 0.6 0.152 0.572
Volfram64_83.cnf 1.944 0.952794 6.1 3.484 3.472 2.868 3.172
Volfram64_84.cnf 1.608 0.923323 6.7 1.488 1.268 0.456 2.316
Volfram64_85.cnf 2.148 1.13498 7.3 2.404 2.752 0.516 2.656
Volfram64_86.cnf 1.26 0.46104 2.9 0.928 0.224 0.332 0.224
Volfram64_87.cnf 1.388 1.32718 2.6 1.34 0.492 0.376 0.604
Volfram64_88.cnf 1.46 0.659735 3 0.808 0.628 0.352 0.78
Volfram64_89.cnf 1.692 0.155135 7 0.276 1.536 0.4 1.332
Volfram64_9.cnf 1.684 1.35315 7.4 0.812 0.932 3.104 1.204
Volfram64_90.cnf 1.04 0.625307 3.5 0.296 0.996 1.904 1.8
Volfram64_91.cnf 1.304 0.488132 3.1 0.08 0.108 0.376 0.108
Volfram64_92.cnf 1.968 2.88599 7.8 1.448 2.1 0.248 0.96
Volfram64_93.cnf 1.256 0.206098 1.9 0.172 0.348 0.48 0.352
Volfram64_94.cnf 2.844 2.32667 10 3.88 1.14 2.064 1.712
Volfram64_95.cnf 1.644 2.12521 4.9 2.688 0.44 0.544 0.504
Volfram64_96.cnf 1.628 1.96112 4.7 0.068 0.276 0.588 0.308
Volfram64_97.cnf 2.544 0.741658 10.3 0.68 0.756 2.288 0.996
Volfram64_98.cnf 2.168 1.25671 7.1 1.16 1.372 2.38 3.244
Volfram64_99.cnf 2.528 1.97421 15.2 5.588 0.964 1.624 7.808
Volfram96_0.cnf 2.94 23.1335 72.6 29.776 57.004 7.052 16.096
Volfram96_1.cnf 14.848 50.2333 116.9 15.132 16.608 49.44 15.608
Volfram96_10.cnf 20.884 38.3532 82.2 38.836 43.184 11.584 7.164
Volfram96_11.cnf 62.672 271.747 50.1 88.616 16.976 118.96 28.048
Volfram96_12.cnf 28.044 44.7755 97.9 65.796 71.68 63.188 49.424
Volfram96_13.cnf 23.944 24.9718 28.7 36.472 9.236 18.48 7.708
Volfram96_14.cnf 24.344 48.4073 36.3 5.196 47.288 35.888 27.432
